19.09.2017 22:01:42 | Beavis | Административная панель - главная страница |  userId = 3
19.09.2017 22:01:33 | Beavis | Просмотр списка задач |  userId = 3
19.09.2017 22:01:29 | Beavis | Просмотр списка задач |  userId = 3
19.09.2017 22:01:19 | Beavis | Просмотр списка задач |  userId = 3
19.09.2017 22:01:16 | Beavis | Добавление новой задачи | Название: Купить буррито,описание: Сходить в Бургер ворлд, купить колы с буррито userId = 3
19.09.2017 22:01:15 | Beavis | Добавление новой задачи |  userId = 3
19.09.2017 22:00:56 | Beavis | Добавление новой задачи |  userId = 3
19.09.2017 22:00:44 | Beavis | Просмотр списка задач |  userId = 3
19.09.2017 22:00:33 | Beavis | Административная панель - главная страница |  userId = 3
19.09.2017 22:00:30 | Beavis | Успешная авторизация пользователя |  userId = 3
19.09.2017 19:59:30 | OliverTwist | Добавление новой задачи |  userId = 21
19.09.2017 19:59:27 | OliverTwist | Добавление новой задачи |  userId = 21
19.09.2017 19:59:23 | OliverTwist | Просмотр списка задач |  userId = 21
19.09.2017 19:59:16 | OliverTwist | Административная панель - главная страница |  userId = 21
19.09.2017 19:59:14 | OliverTwist | Успешная авторизация пользователя |  userId = 21
19.09.2017 19:54:22 | Beavis | Добавление новой задачи |  userId = 3
19.09.2017 19:53:52 | Beavis | Добавление новой задачи |  userId = 3
19.09.2017 19:53:39 | Beavis | Добавление новой задачи |  userId = 3
19.09.2017 19:52:53 | Beavis | Добавление новой задачи |  userId = 3
19.09.2017 19:52:43 | Beavis | Добавление новой задачи |  userId = 3
19.09.2017 19:52:02 | Beavis | Добавление новой задачи |  userId = 3
19.09.2017 19:51:45 | Beavis | Добавление новой задачи |  userId = 3
19.09.2017 19:48:15 | Beavis | Добавление новой задачи |  userId = 3
19.09.2017 19:47:25 | Beavis | Добавление новой задачи |  userId = 3
19.09.2017 19:46:38 | Beavis | Добавление новой задачи |  userId = 3
19.09.2017 19:43:07 | Beavis | Добавление новой задачи |  userId = 3
19.09.2017 19:42:48 | Beavis | Добавление новой задачи |  userId = 3
19.09.2017 19:42:36 | Beavis | Добавление новой задачи |  userId = 3
19.09.2017 19:42:29 | Beavis | Просмотр списка задач |  userId = 3
19.09.2017 19:40:55 | Beavis | Просмотр списка задач |  userId = 3
19.09.2017 19:39:18 | Beavis | Просмотр списка задач |  userId = 3
19.09.2017 19:39:15 | Beavis | Просмотр списка задач |  userId = 3
19.09.2017 19:39:13 | Beavis | Просмотр списка задач |  userId = 3
19.09.2017 19:39:09 | Beavis | Просмотр списка задач |  userId = 3
19.09.2017 19:39:05 | Beavis | Успешная авторизация пользователя |  userId = 3
19.09.2017 19:39:05 | Beavis | Административная панель - главная страница |  userId = 3
19.09.2017 17:23:51 | Beavis | Административная панель - главная страница |  userId = 3
19.09.2017 17:23:50 | Beavis | Успешная авторизация пользователя |  userId = 3
19.09.2017 17:21:05 | Beavis | Административная панель - главная страница |  userId = 3
19.09.2017 17:21:03 | Beavis | Успешная авторизация пользователя |  userId = 3
19.09.2017 17:16:57 | Beavis | Административная панель - главная страница |  userId = 3
19.09.2017 17:16:55 | Beavis | Успешная авторизация пользователя |  userId = 3
19.09.2017 14:45:08 | Beavis | Просмотр списка задач |  userId = 3
19.09.2017 14:44:21 | Beavis | Просмотр списка задач |  userId = 3
19.09.2017 14:29:31 | Beavis | Просмотр списка задач |  userId = 3
19.09.2017 14:29:17 | Beavis | Просмотр списка задач |  userId = 3
19.09.2017 14:29:06 | Beavis | Просмотр списка задач |  userId = 3
19.09.2017 14:28:58 | Beavis | Административная панель - главная страница |  userId = 3
19.09.2017 14:28:57 | Beavis | Успешная авторизация пользователя |  userId = 3
19.09.2017 14:03:07 | Beavis | Добавление новой задачи |  userId = 3
19.09.2017 14:00:05 | Beavis | Добавление новой задачи |  userId = 3
19.09.2017 13:59:54 | Beavis | Добавление новой задачи |  userId = 3
19.09.2017 13:59:39 | Beavis | Просмотр списка задач |  userId = 3
19.09.2017 13:59:36 | Beavis | Просмотр списка задач |  userId = 3
19.09.2017 13:59:32 | Beavis | Просмотр списка задач |  userId = 3
19.09.2017 13:59:19 | Beavis | Просмотр списка задач |  userId = 3
19.09.2017 13:59:05 | Beavis | Добавление новой задачи |  userId = 3
19.09.2017 13:39:38 | Beavis | Добавление новой задачи |  userId = 3
19.09.2017 13:39:27 | Beavis | Просмотр списка задач |  userId = 3
19.09.2017 13:39:19 | Beavis | Просмотр списка задач |  userId = 3
19.09.2017 13:39:12 | Beavis | Просмотр списка задач |  userId = 3
19.09.2017 13:39:03 | Beavis | Административная панель - главная страница |  userId = 3
19.09.2017 13:39:00 | Beavis | Успешная авторизация пользователя |  userId = 3
19.09.2017 13:20:10 | Alen | Просмотр списка задач |  userId = 1
19.09.2017 13:20:01 | Alen | Просмотр списка задач |  userId = 1
19.09.2017 13:19:51 | Alen | Просмотр списка задач |  userId = 1
19.09.2017 13:19:41 | Alen | Просмотр списка задач |  userId = 1
19.09.2017 13:19:33 | Alen | Просмотр списка задач |  userId = 1
19.09.2017 13:16:16 | Alen | Просмотр списка задач |  userId = 1
19.09.2017 13:16:13 | Alen | Просмотр списка задач |  userId = 1
19.09.2017 13:16:09 | Alen | Просмотр списка задач |  userId = 1
19.09.2017 13:16:04 | Alen | Просмотр списка задач |  userId = 1
19.09.2017 13:15:09 | Alen | Просмотр списка задач |  userId = 1
19.09.2017 13:15:06 | Alen | Просмотр списка задач |  userId = 1
19.09.2017 13:15:01 | Alen | Успешная авторизация пользователя |  userId = 1
19.09.2017 13:15:01 | Alen | Административная панель - главная страница |  userId = 1
19.09.2017 13:11:03 | Alen | Просмотр списка задач |  userId = 1
19.09.2017 13:10:57 | Alen | Просмотр списка задач |  userId = 1
19.09.2017 13:10:49 | Alen | Просмотр списка задач |  userId = 1
19.09.2017 13:10:33 | Alen | Просмотр списка задач |  userId = 1
19.09.2017 13:10:09 | Alen | Просмотр списка задач |  userId = 1
19.09.2017 13:10:04 | Alen | Просмотр списка задач |  userId = 1
19.09.2017 13:08:57 | Alen | Просмотр списка задач |  userId = 1
19.09.2017 13:05:18 | Alen | Просмотр списка задач |  userId = 1
19.09.2017 13:04:32 | Alen | Административная панель - главная страница |  userId = 1
19.09.2017 13:04:29 | Alen | Успешная авторизация пользователя |  userId = 1
19.09.2017 13:02:22 | OliverTwist | Административная панель - главная страница |  userId = 21
19.09.2017 13:02:14 | TomSawyer | Административная панель - главная страница |  userId = 21
19.09.2017 13:02:01 | TomSawyer | Административная панель - главная страница |  userId = 21
19.09.2017 13:01:53 | TomSawyer | Административная панель - главная страница |  userId = 21
19.09.2017 13:01:51 | TomSawyer | Успешная авторизация пользователя |  userId = 21
19.09.2017 12:33:38 | Beavis | gjjkljkl | 34tgtr userId = 3
19.09.2017 12:28:45 | TomSawyer | Административная панель - главная страница |  userId = 21
19.09.2017 12:28:35 | TomSawyer | Административная панель - главная страница |  userId = 21
19.09.2017 12:28:34 | TomSawyer | Успешная авторизация пользователя |  userId = 21
19.09.2017 12:28:13 | OliverTwist | Административная панель - главная страница |  userId = 21
19.09.2017 12:28:05 | OliverTwist | Административная панель - главная страница |  userId = 21
19.09.2017 12:28:03 | OliverTwist | Административная панель - главная страница |  userId = 21
19.09.2017 12:27:51 | OliverTwist | Административная панель - главная страница |  userId = 21
19.09.2017 12:27:45 | OliverTwist | Административная панель - главная страница |  userId = 21
19.09.2017 12:27:38 | OliverTwist | Административная панель - главная страница |  userId = 21
19.09.2017 12:27:35 | OliverTwist | Административная панель - главная страница |  userId = 21
