20.09.2017 16:00:33 | Альберт | Просмотр списка задач |  (userId = 23)
20.09.2017 16:00:29 | Альберт | Просмотр списка задач |  (userId = 23)
20.09.2017 16:00:29 | Альберт | Удаление задачи | Название: Купить пирог, описание: Купить пирог с кофеДата добавления  20.09.2017 15:50:31Дата выполнения 20.09.2017 15:50:48 (userId = 23)
20.09.2017 16:00:24 | Альберт | Просмотр списка задач |  (userId = 23)
20.09.2017 16:00:24 | Альберт | Удаление задачи | Название: Купить пирог, описание: Купить пирог с кофеДата добавления  20.09.2017 15:50:31Дата выполнения 20.09.2017 15:50:48 (userId = 23)
20.09.2017 16:00:22 | Альберт | Просмотр списка задач |  (userId = 23)
20.09.2017 16:00:18 | Альберт | Просмотр списка задач |  (userId = 23)
20.09.2017 15:56:43 | Альберт | Просмотр списка задач |  (userId = 23)
20.09.2017 15:56:40 | Альберт | Просмотр списка задач |  (userId = 23)
20.09.2017 15:56:40 | Альберт | Изменение задачи. Название: Купить пирог, описание: Купить пирог с чаем. Дата добавления  20.09.2017 15:50:31 | Новые данные. Название: Купить пирог, описание: Купить пирог с кофе (userId = 23)
20.09.2017 15:56:31 | Альберт | Просмотр списка задач |  (userId = 23)
20.09.2017 15:56:28 | Альберт | Просмотр списка задач |  (userId = 23)
20.09.2017 15:56:26 | Альберт | Административная панель - главная страница |  (userId = 23)
20.09.2017 15:56:07 | Альберт | Просмотр списка задач |  (userId = 23)
20.09.2017 15:51:18 | Альберт | Просмотр списка задач |  (userId = 23)
20.09.2017 15:51:14 | Альберт | Изменение задачи. Название: Купить пирог, описание: купить пирог. Дата добавления  20.09.2017 15:50:31 | Новые данные. Название: Купить пирог, описание: Купить пирог с чаем (userId = 23)
20.09.2017 15:51:13 | Альберт | Просмотр списка задач |  (userId = 23)
20.09.2017 15:50:59 | Альберт | Просмотр списка задач |  (userId = 23)
20.09.2017 15:50:49 | Альберт | Отметка о выполнении задачи | Название: Купить пирог, описание: купить пирог (userId = 23)
20.09.2017 15:50:48 | Альберт | Просмотр списка задач |  (userId = 23)
20.09.2017 15:50:46 | Альберт | Отметка о выполнении задачи | Название: Съездить за грибами, описание: Съездить за грибами в ближайшие выходные (userId = 23)
20.09.2017 15:50:44 | Альберт | Просмотр списка задач |  (userId = 23)
